Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADNP	gene	ADNP	Expert Review Green;SFARI	Autism				Helsmoortel-Van der Aa syndrome;ID, EPS, DD/NDD, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000101126	ENSG00000101126	HGNC:15766													
ANK2	gene	ANK2	Expert Review Green;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000145362	ENSG00000145362	HGNC:493													
ARID1B	gene	ARID1B	Expert Review Green;SFARI	Autism				Coffin-Siris syndrome;ASD, DD/NDD, EPS, ADHD, ID, EP				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000049618	ENSG00000049618	HGNC:18040													
ASH1L	gene	ASH1L	Expert Review Green;SFARI	Autism				ID, EPS, DD/NDD, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000116539	ENSG00000116539	HGNC:19088													
ASXL3	gene	ASXL3	Expert Review Green;SFARI	Autism				ASD, EPS, ID, DD/NDD;Bainbridge-Ropers syndrome				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000141431	ENSG00000141431	HGNC:29357													
CHD2	gene	CHD2	Expert Review Green;SFARI	Autism				Tourette syndrome;EP, ASD, EPS, DD/NDD, ADHD, ID				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000173575	ENSG00000173575	HGNC:1917													
CHD8	gene	CHD8	Expert Review Green;SFARI	Autism				SCZ, DD/NDD, ID				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000100888	ENSG00000100888	HGNC:20153													
CUL3	gene	CUL3	Expert Review Green;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000036257	ENSG00000036257	HGNC:2553													
DSCAM	gene	DSCAM	Expert Review Green;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000171587	ENSG00000171587	HGNC:3039													
DYRK1A	gene	DYRK1A	Expert Review Green;SFARI	Autism				DD/NDD, EP, EPS, ID, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000157540	ENSG00000157540	HGNC:3091													
GRIN2B	gene	GRIN2B	Expert Review Green;SFARI	Autism				ASD, DD/NDD, EPS, ADHD, ID, EP				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000273079	ENSG00000273079	HGNC:4586													
KATNAL2	gene	KATNAL2	Expert Review Green;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000167216	ENSG00000167216	HGNC:25387													
KMT2A	gene	KMT2A	Expert Review Green;SFARI	Autism				EP, ASD, EPS, DD/NDD, ID;Wiedemann-Steiner syndrome				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000118058	ENSG00000118058	HGNC:7132													
KMT5B	gene	KMT5B	Expert Review Green;SFARI	Autism				EPS, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000110066	ENSG00000110066	HGNC:24283													
MYT1L	gene	MYT1L	Expert Review Green;SFARI	Autism				ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000186487	ENSG00000186487	HGNC:7623													
NAA15	gene	NAA15	Expert Review Green;SFARI	Autism				ADHD, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000164134	ENSG00000164134	HGNC:30782													
POGZ	gene	POGZ	Expert Review Green;SFARI	Autism				DD/NDD, EPS, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000143442	ENSG00000143442	HGNC:18801													
PTEN	gene	PTEN	Expert Review Green;SFARI	Autism				ID, ADHD, EPS, DD/NDD, ASD;Cowden syndrome, Macrocephaly/autism syndrome, PTEN hamartoma tumor syndrome				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	50;50;0	0.22	False		ENSG00000171862	ENSG00000171862	HGNC:9588													
RELN	gene	RELN	Expert Review Green;SFARI	Autism				DD/NDD, ID, EPS				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000189056	ENSG00000189056	HGNC:9957													
SCN2A	gene	SCN2A	Expert Review Green;SFARI	Autism				EP, ASD, DD/NDD, EPS, ADHD, ID				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000136531	ENSG00000136531	HGNC:10588													
SETD5	gene	SETD5	Expert Review Green;SFARI	Autism				ADHD, DD/NDD, ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000168137	ENSG00000168137	HGNC:25566													
SHANK3	gene	SHANK3	Expert Review Green;SFARI	Autism				Phelan-McDermid syndrome, Rett syndrome-like phenotype;DD/NDD, ASD, ID, EPS				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000251322	ENSG00000251322	HGNC:14294													
SYNGAP1	gene	SYNGAP1	Expert Review Green;SFARI	Autism				DD/NDD, ID, ASD, EP, EPS				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000197283	ENSG00000197283	HGNC:11497													
TBR1	gene	TBR1	Expert Review Green;SFARI	Autism				ASD, ADHD, EPS, DD/NDD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000136535	ENSG00000136535	HGNC:11590													
TRIP12	gene	TRIP12	Expert Review Green;SFARI	Autism				ASD				20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	3	0;100;0	0.22	False		ENSG00000153827	ENSG00000153827	HGNC:12306													
ANKRD11	gene	ANKRD11	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000167522	ENSG00000167522	HGNC:21316													
BAZ2B	gene	BAZ2B	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	50;50;0	0.22	False		ENSG00000123636	ENSG00000123636	HGNC:963													
BCKDK	gene	BCKDK	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000103507	ENSG00000103507	HGNC:16902													
BCL11A	gene	BCL11A	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000119866	ENSG00000119866	HGNC:13221													
CACNA1D	gene	CACNA1D	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000157388	ENSG00000157388	HGNC:1391													
CACNA1H	gene	CACNA1H	Expert Review Amber;SFARI	Autism								20212079;26185613;23042784;24267887;26166478;25989142;24090431;24581740;26167905;23999528;25294932		False	2	0;100;0	0.22	False		ENSG00000196557	ENSG00000196557	HGNC:1395													
CACNA2D3	gene	CACNA2D3	Expert Review Amber;SFARI	Autism								24090431;20212079;23042784;24267887;24581740;23999528;25294932;26185613;26166478;26167905;25989142		False	2	0;100;0	0.22	False		ENSG00000157445	ENSG00000157445	HGNC:15460													
