A1BG	4.9917e-09	7.8457e-01	1.2080e+00	1485	19	58856544	58864865
A1CF	5.9218e-10	6.0537e-01	8.8000e-01	1782	10	52559169	52645435
A2M	4.5229e-11	4.0526e-01	5.4400e-01	4422	12	9220260	9268825
A2ML1	1.6109e-34	7.7171e-01	9.5200e-01	4362	12	8975068	9039597
A3GALT2	1.2823e-10	1.1727e+00	1.7640e+00	1020	1	33772367	33786699
A4GALT	7.6668e-06	9.4609e-01	1.6540e+00	1059	22	43088127	43117304
A4GNT	1.6537e-01	2.8592e-01	7.3900e-01	1020	3	137842560	137851229
AAAS	2.4356e-13	7.0734e-01	9.8800e-01	1638	12	53701240	53718648
AACS	9.1275e-17	7.9801e-01	1.0880e+00	2016	12	125549925	125627873
AADAC	2.9108e-03	4.7848e-01	9.4400e-01	1197	3	151531825	151546276
AADACL2	1.0604e-08	1.0384e+00	1.6520e+00	1203	3	151451704	151479127
AADACL3	1.1889e-02	7.4091e-01	1.7010e+00	1050	1	12776118	12788726
AADACL4	1.5430e-04	8.9757e-01	1.6790e+00	1221	1	12704566	12727097
AADAT	1.4641e-01	2.5759e-01	5.0800e-01	1275	4	170981373	171012850
AAED1	1.0063e-07	1.1471e+00	1.8010e+00	678	9	99401859	99417585
AAGAB	3.8664e-07	6.5248e-01	1.0370e+00	945	15	67493371	67547533
AAK1	1.0000e+00	4.1108e-02	1.2900e-01	2883	2	69688532	69901481
AAMDC	2.2702e-06	1.1581e+00	1.8380e+00	366	11	77532155	77629478
AAMP	7.6172e-01	1.7941e-01	4.1100e-01	1302	2	219128850	219134980
AANAT	2.9690e-03	5.8463e-01	1.2270e+00	756	17	74449433	74466199
AAR2	8.3057e-06	7.7387e-01	1.3480e+00	1152	20	34824381	34858840
AARD	3.2580e-01	2.3468e-01	1.1030e+00	465	8	117950438	117956726
AARS	1.8242e-08	4.3213e-01	6.1700e-01	2904	16	70286198	70323446
AARS2	4.9777e-17	6.2983e-01	8.3500e-01	2955	6	44267391	44281063
AARSD1	4.0653e-09	7.2926e-01	1.1080e+00	1236	17	41102543	41116515
AASDH	1.6629e-13	6.0375e-01	8.2800e-01	3294	4	57204456	57253666
AASDHPPT	3.3866e-02	3.4109e-01	7.1700e-01	927	11	105946228	105969437
AASS	2.3101e-12	5.8328e-01	8.0900e-01	2778	7	121715701	121784334
AATF	2.5958e-12	7.4612e-01	1.0650e+00	1680	17	35306175	35414171
AATK	2.0634e-01	2.3786e-01	4.0300e-01	4122	17	79091095	79139877
ABAT	6.3216e-03	3.2476e-01	5.6700e-01	1500	16	8768422	8878432
ABCA1	1.4525e-13	3.7761e-01	4.8600e-01	6783	9	107543283	107690518
ABCA10	7.6593e-34	7.8175e-01	9.6800e-01	4629	17	67143355	67240987
ABCA12	2.9220e-15	3.7726e-01	4.7800e-01	7785	2	215796266	216003151
ABCA13	8.7753e-114	9.1534e-01	1.0350e+00	15174	7	48211055	48687092
ABCA2	1.0000e+00	1.0405e-01	1.6900e-01	7308	9	139901686	139923367
ABCA3	6.6226e-08	3.6114e-01	5.0100e-01	5112	16	2325882	2390747
ABCA4	5.3499e-48	7.6333e-01	9.1000e-01	6819	1	94458393	94586688
ABCA5	4.7803e-27	6.6905e-01	8.3800e-01	4926	17	67240452	67323385
ABCA6	5.1099e-27	6.8873e-01	8.6400e-01	4851	17	67074843	67138029
ABCA7	2.1111e-55	8.9526e-01	1.0670e+00	6438	19	1040102	1065571
ABCA8	1.6090e-52	9.8450e-01	1.1860e+00	4743	17	66863433	66951533
